RK	Player		Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG	OBP	SLG	OPS
5	Callaspo, A	LAA	3B	141	475	54	137	23	0	6	46	58	48	8	1	.288	.366	.375	.740
6	Kendrick, H	LAA	2B	140	537	86	153	30	6	18	63	33	119	14	6	.285	.338	.464	.802
7	Aybar, E	LAA	SS	143	556	71	155	33	8	10	59	31	68	30	6	.279	.322	.421	.743
8	Izturis, M	LAA	3B	122	449	51	124	35	0	5	38	33	65	9	6	.276	.334	.388	.722
9	Bourjos, P	LAA	CF	147	502	72	136	26	11	12	43	32	124	22	9	.271	.327	.438	.765
10	Hunter, T	LAA	CF	156	580	80	152	24	2	23	82	62	125	5	7	.262	.336	.429	.765
11	Trumbo, M	LAA	3B	149	539	65	137	31	1	29	87	25	120	9	4	.254	.291	.477	.768
12	Abreu, B	LAA	RF	142	502	54	127	30	1	8	60	78	113	21	5	.253	.353	.365	.717
14	Wells, V	LAA	CF	131	505	60	110	15	4	25	66	20	86	9	4	.218	.248	.412	.660
15	Conger, H	LAA	C	59	177	14	37	8	0	6	19	17	37	0	0	.209	.282	.356	.638
17	Wilson, B	LAA	C	57	111	5	21	8	0	1	8	10	16	0	2	.189	.252	.288	.540
19	Mathis, J	LAA	C	93	247	18	43	12	0	3	22	15	75	1	2	.174	.225	.259	.484
20	Amarista, A	LAA	2B	23	52	2	8	3	1	0	5	2	8	0	0	.154	.182	.250	.432
